,site_id,o2_model_rmse,lstm_model_rmse
0,nhdhr_120018046,2.3884300443197395,2.514843130040468
1,nhdhr_120020218,0.771011551154095,0.7660873622260271
2,nhdhr_120020392,2.05704584709866,1.8568316253839399
3,nhdhr_120019336,3.0613342312375313,2.2049661854103
4,nhdhr_121623866,4.403293929901095,0.006422925639241855
5,nhdhr_120020805,2.9214372204814407,2.6511993695560676
6,nhdhr_120017991,3.0354628201580454,2.7342558148083236
7,nhdhr_143251029,4.879639645808843,4.479428802480922
8,nhdhr_120018220,2.3990047210611793,2.058721465411555
9,nhdhr_120020348,3.5278646496713093,3.9358182928458034
10,nhdhr_121623004,0.7021688483961552,0.13717125173400252
11,nhdhr_120020211,2.483752204021259,2.301542342400082
12,nhdhr_143249522,1.902840848931028,2.1492183864360013
13,nhdhr_151949390,3.6658776352804585,3.2670996683413955
14,nhdhr_120020364,4.4441741978281515,3.7407899310126225
15,nhdhr_120018493,2.5469728028542606,2.9982338197793825
16,nhdhr_120019016,2.168232345644392,1.4912495202402958
17,nhdhr_121623268,3.265846270560902,3.291486049027313
18,nhdhr_120018114,3.385398028121607,2.2679224146471055
19,nhdhr_120018135,3.147318156698763,3.8165301189281524
20,nhdhr_143250529,4.818358699341352,6.916703842068519
21,nhdhr_109981506,11.088661847676168,10.422377705574036
22,nhdhr_120018074,1.968021164729088,1.7999369317265173
23,nhdhr_120019861,3.6489401544394173,3.618810595151271
24,nhdhr_120020347,4.36794537509498,4.824251327444173
25,nhdhr_120018146,5.857723971228739,2.0539372410537986
26,nhdhr_120018126,2.0949412050390857,1.9653288374900293
27,nhdhr_143249640,3.1994896825930508,2.8326454879128176
28,nhdhr_121623043,3.8758091075612455,4.0556242182070035
29,nhdhr_120018092,2.66006799801359,2.0295821270937724
30,nhdhr_120020334,2.2991055776028113,2.540693520296131
31,nhdhr_120018103,4.511427985473774,2.551332728270266
32,nhdhr_120019354,4.698169501823506,4.402458517795535
33,nhdhr_121839184,6.620690275023072,2.5675621768476233
34,nhdhr_120019749,2.8186241525741873,2.8739264281227594
35,nhdhr_120019058,2.3672739173615067,0.9355721117736483
36,nhdhr_120018036,2.3679796937623094,2.475855461392994
37,nhdhr_121623126,5.932452953364383,6.7122888922018875
38,nhdhr_143250615,3.486496530286063,4.863304475432007
39,nhdhr_120018129,3.220721600305466,2.4821366339550934
40,nhdhr_120018511,2.578218806530102,2.2713772759699338
41,nhdhr_120020235,3.233348508447,3.0354807878418417
42,nhdhr_121623301,3.2906912910746406,3.812506373519229
43,nhdhr_120020567,2.8166160268394673,1.3076012878082275
44,nhdhr_120020210,4.51427537153489,3.0716313489807643
45,nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,3.1736285031594678,2.329089503848099
46,nhdhr_120020759,2.8203146439148754,3.0514329060075003
47,nhdhr_120018090,2.728311779695432,2.8342664037324523
48,nhdhr_120018073,2.7024017412777637,1.4891460967950745
49,nhdhr_122851099,3.0142125999998735,2.2093435131682866
50,nhdhr_121623871,2.904668909858825,3.370283738284281
51,nhdhr_120020798,2.8235371639458355,2.2708497680144877
52,nhdhr_120020354,3.006407737951496,3.168082623550203
53,nhdhr_120018132,2.7784622306151996,1.6774124293752815
54,nhdhr_120020359,1.972609662535751,1.8798108185419222
55,nhdhr_120020307,2.324072900404583,0.9182205520150539
56,nhdhr_120018379,3.726657551082088,3.686248985249288
57,nhdhr_120020236,2.581878105542119,2.960673578822029
58,nhdhr_121859009,4.099074383776506,2.8481645584106445
59,nhdhr_120018085,5.409388098500233,5.960200312453847
60,nhdhr_120018459,2.413078523381907,2.159162882429287
61,nhdhr_123148239,3.7522834758531194,3.0429889844492015
62,nhdhr_151949699,3.5370557914048915,2.733941065312286
63,nhdhr_120018100,1.9977657513944944,1.8402065293413854
64,nhdhr_129223861,5.624980989114212,5.288950101080635
65,nhdhr_120020387,3.560657258742375,3.398409631968837
66,nhdhr_139268769,3.417922874861156,3.0388017077157423
67,nhdhr_120018107,1.8476866700183712,1.4169625517959337
68,nhdhr_120018081,0.9733720362498949,0.8696155064571325
69,nhdhr_120020200,4.050038412753451,2.5240043056169634
70,nhdhr_120018061,6.9022937798894715,1.9073761619550602
71,nhdhr_120020208,3.6439825497349303,3.9153731210140257
72,nhdhr_143249864,3.5881249561864217,4.02541985804502
73,nhdhr_143416561,2.606077654574653,3.0820191192427835
74,nhdhr_120020213,3.0158110632532154,3.64848302506511
75,nhdhr_120018510,3.781201213977462,2.64974860612372
76,nhdhr_120020250,4.070059824222169,4.1715194310790356
77,nhdhr_143249470,3.114618066773785,2.8630488292279854
78,nhdhr_105567402,3.1736285031594678,2.323828997137713
79,nhdhr_120020398,3.675655627007493,3.504608357835685
80,nhdhr_120020204,2.5483143253066616,2.595221249696606
81,nhdhr_120018108,2.586306376517759,1.9189704100404712
82,nhdhr_120019712,2.059651131883405,1.7111825483990093
83,nhdhr_120018212,2.282386993100701,1.6501200537033276
84,nhdhr_120018495,5.316955241260253,3.6289805014419403
85,nhdhr_120019913,2.179562207492782,2.1733009336211557
86,nhdhr_120019638,2.4314049720015696,2.3110819064036727
87,nhdhr_120018139,2.1886640841064797,1.8815435457077483
88,nhdhr_120018098,3.2324383789252216,2.957369546873972
89,nhdhr_141288680,3.1228354602983988,3.9125698321930256
90,nhdhr_137059882,2.5917696660240463,2.1130771152380543
91,nhdhr_139269431,5.442543569929664,4.606170442434339
92,nhdhr_120019732,2.6606167711831885,2.1120697254398064
93,nhdhr_120018014,2.9246845403539736,2.4587269134726832
94,nhdhr_120020199,1.7208785883969666,1.8756375991655552
95,nhdhr_120020636,3.018760253682205,3.0767128750012183
