,site_id,o2_model_rmse,lstm_model_rmse
144,nhdhr_120018106,4.647486745143887,2.662163637021471
145,nhdhr_120018233,5.692367264902527,5.438911991390393
146,nhdhr_120019864,1.1688466189371176,1.2187408670150857
147,nhdhr_107074156,2.164971047958981,3.0491867003121635
148,nhdhr_120019371,11.958062113999405,3.0305853441220703
149,nhdhr_120020090,2.1867015230683693,2.115869640889427
150,nhdhr_120018049,1.9585384832800672,1.6445746526279064
151,nhdhr_120020844,3.577313199881851,3.0023346046109505
152,nhdhr_114544961,3.7532067672970615,3.6722222268952494
153,nhdhr_120020220,3.1168961011544565,3.08124067934866
154,nhdhr_139269433,1.3755655137796212,0.47502216696739197
155,nhdhr_120018226,2.127917015195412,1.8575027996643927
156,nhdhr_121622394,4.3608026273200515,4.321903874077745
157,nhdhr_120018060,3.086588755128713,2.188172178051554
158,nhdhr_143249413,5.1620221091201355,6.039328022366423
159,nhdhr_120020206,5.3550229420841395,4.854909290218748
160,nhdhr_121622699,7.047417274278625,6.802805321200629
161,nhdhr_105954753,3.7301524108679645,6.650972463352115
162,nhdhr_120019513,1.1509035799552405,0.0567011758685112
163,nhdhr_120018124,2.693629295657161,2.363691645525914
164,nhdhr_114542575,3.3345434151292475,2.9083283665474364
165,nhdhr_120019294,3.4915983968657303,2.801583447631166
166,nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,4.825744538088748,2.5908520239863773
167,nhdhr_107074838,2.0786593056893183,0.003012247040872447
168,nhdhr_120018032,4.032833277084081,2.2742216021795807
169,nhdhr_120020373,6.72059908085741,5.427539693940183
170,nhdhr_120019850,1.9790574463471127,1.840476355689232
171,nhdhr_120018047,4.794573772996452,5.670782725637174
172,nhdhr_120018133,4.429941349439886,1.435067332767369
173,nhdhr_120018055,2.702814022084637,2.244508636354168
174,nhdhr_120018136,2.387688043701617,1.628051351821658
175,nhdhr_120018120,2.583292557973541,1.954893831959069
176,nhdhr_143250015,2.7100548330308185,2.7692553732693987
177,nhdhr_120020242,2.3709556434345744,1.7086713100792241
178,nhdhr_120019636,1.524060639193622,1.1142029336380501
179,nhdhr_120018084,2.698586455891334,2.5539879011138407
180,nhdhr_120018211,2.016155680266114,1.417736913037932
181,nhdhr_120020342,2.3017482592883898,1.8707049943697736
182,nhdhr_120020379,3.5972956738373743,3.1881285360505287
183,nhdhr_143249464,6.273077511578072,6.132185403083623
184,nhdhr_143249192,1.6418614455971392,0.989911507242879
185,nhdhr_120020366,2.5418811896646782,2.468841368467378
186,nhdhr_145088870,5.4240919240239185,4.632732759110876
187,nhdhr_120020246,4.2992261438413655,4.860385456922734
