"estimate","std.error","Adjusted.SE","statistic","p.value","term"
-5.02607961032692,3.55460049699596,3.60108944051461,1.39571085177176,0.1628016,"(Intercept)"
-1.81170741541603,1.08476770160655,1.09943404757055,1.64785456610099,0.0993825,"human_impact"
1.33952181013705,0.499919174508748,0.506682317847596,2.64371138078666,0.0082003,"log10(area)"
-14.7345631948584,3.56846897065224,3.61603285126496,4.07478687305177,4.61e-05,"log10(depth)"
-4.32333003391106,1.56511405492718,1.58626951528439,2.72547003661983,0.006421,"eutro"
-0.51673393616947,0.511820975919923,0.518796115785202,0.996025067356932,0.319238,"log10(RT)"
