"estimate","std.error","Adjusted.SE","statistic","p.value","term"
-6.58240334391825,3.32297423391587,3.3677951006077,1.95451419913596,0.0506404,"(Intercept)"
-1.66713254808071,1.06372135296938,1.07809546617606,1.54636820243195,0.1220157,"human_impact"
1.31381625546139,0.494686655604264,0.501371903161133,2.62044252415786,0.0087816,"log10(area)"
-11.9655786757833,3.05253749826466,3.09376187940592,3.86764694317101,0.0001099,"log10(depth)"
-2.43243094277705,1.31861468904256,1.33643467892564,1.82008966179514,0.0687454,"eutro"
-0.128737084497947,0.472635040159964,0.479076150754195,0.268719459934042,0.7881456,"log10(RT)"
