"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.75654482947766,0.684922146385746,-5.48463040551472,4.1433474850788e-08
"human_impact",-0.164963977894571,0.293123635889719,-0.562779515864884,0.573585030510208
"log10(area)",1.41140791110292,0.114508021386888,12.3258431506226,6.57521254779827e-35
"depth",-4.84645905392966,0.313100018223857,-15.4789484888008,4.81274972071765e-54
"eutro",-0.802632467475776,0.282240822588818,-2.84378588509533,0.00445809953287642
"log10(RT)",-0.389511071986379,0.112656600447463,-3.45750777530364,0.000545196509350046
