"term","estimate","std.error","statistic","p.value"
"(Intercept)",-7.2915229645119,3.64505101951773,-2.00038982320654,0.0454581864389442
"human_impact",-2.71907341572067,1.27707641506054,-2.12913916791094,0.033242748042611
"log10(area)",1.42022198880935,0.517079736393969,2.74662085718877,0.00602126968007619
"log10(depth)",-16.9804610335671,4.07408160233044,-4.16792364292702,3.07386861454317e-05
"eutro",-3.11573463215588,1.64057370740242,-1.89917381834013,0.0575416259265273
"log10(RT)",0.264735925269225,0.45247866256762,0.585079357702668,0.558494357988725
