"term","estimate","std.error","statistic","p.value"
"(Intercept)",-4.18076807421495,0.713858856590279,-5.85657519776982,4.72509691685483e-09
"human_impact",-0.378313399805868,0.302448719503351,-1.25083485368063,0.21099473591997
"log10(area)",1.4528100540676,0.117186773046862,12.3973893665169,2.69976744414243e-35
"depth",-4.99442939305661,0.320653345557531,-15.5757906856472,1.06330056595812e-54
"eutro",-0.518009380799687,0.288495344371535,-1.79555542543721,0.0725652504143948
"log10(RT)",-0.290155159277883,0.109904375245388,-2.64006922954651,0.00828890931078234
