"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.96843191632565,0.698269675300312,-5.68323680191167,1.3216906311446e-08
"human_impact",-0.369641649460469,0.29599496243657,-1.24881060953759,0.211734352532124
"log10(area)",1.41731254069888,0.11623428666521,12.1935840220809,3.36298863356321e-34
"depth",-4.91433515358168,0.319400556672014,-15.3861195634299,2.02837447818808e-53
"eutro",-0.686259394637102,0.283756327611826,-2.41848137947392,0.0155854432205833
"log10(RT)",-0.297070659715808,0.10961468733582,-2.71013553873205,0.00672557182644932
