"term","estimate","std.error","statistic","p.value"
"(Intercept)",-10.6455081471063,4.59787209159719,-2.31531193887742,0.020595866851629
"human_impact",-3.54505490144403,1.42347533638509,-2.49042242659904,0.0127591345434334
"log10(area)",2.11081091235492,0.660112732585009,3.19765217084809,0.00138551288836774
"log10(depth)",-25.0377539701385,5.48401230777913,-4.56559040442382,4.98090478689934e-06
"eutro",-4.81267211273926,1.83676476049619,-2.62018970324711,0.00878808655525815
"log10(RT)",0.515125599238803,0.534159711438972,0.964366252653364,0.334862335414839
