"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.66683577684364,0.706913670902796,-5.18710548087256,2.13587767181398e-07
"human_impact",-0.375977887450076,0.29917513394265,-1.25671503007382,0.208856843636933
"log10(area)",1.51097739932314,0.119617703469762,12.6317205187366,1.41157666079311e-36
"depth",-5.40303601084147,0.33589679616744,-16.0854050187133,3.22933477202405e-58
"eutro",-0.728080836133614,0.282835935345286,-2.57421616261304,0.0100467482428639
"log10(RT)",-0.416749547786726,0.11473059680433,-3.63241854740355,0.000280777217919186
