"term","estimate","std.error","statistic","p.value"
"(Intercept)",-2.7305944963539,0.494919046467155,-5.51725482348175,3.44335974160159e-08
"human_impact",-2.6028571599458,0.195124341838782,-13.3394795104363,1.364085952914e-40
"log10(area)",1.75669318195245,0.0912466209049046,19.2521450606181,1.35437356074426e-82
"depth",-5.99725743915703,0.248778926713909,-24.1067743091189,2.1225335313472e-128
"eutro",-1.41715620166429,0.188150303044007,-7.53204315239838,4.99524429725171e-14
"log10(RT)",-0.301322568112693,0.0780754414390509,-3.85937706606396,0.000113676424206777
