"term","estimate","std.error","statistic","p.value"
"(Intercept)",-4.23277077928218,0.702817084967103,-6.02257809296185,1.71660497836034e-09
"human_impact",-0.384392628371721,0.293255844234897,-1.31077567908186,0.189933561684412
"log10(area)",1.54518261801047,0.12038578201206,12.8352583850448,1.04055234853742e-37
"depth",-4.98730356195322,0.317661216141378,-15.70007073112,1.51073530064013e-55
"eutro",-0.636197446157971,0.275968905002092,-2.30532293539791,0.0211484939589058
"log10(RT)",-0.455026346418719,0.113036819187216,-4.02547019361087,5.68615829102762e-05
