"term","estimate","std.error","statistic","p.value"
"(Intercept)",-7.46299512295596,4.00387387180101,-1.86394361109057,0.0623296235018387
"human_impact",-2.41460157213128,1.27806345556566,-1.88926579632355,0.0588562222339076
"log10(area)",1.53046350741186,0.53978606971146,2.83531493917574,0.00457805300718275
"log10(depth)",-16.5741697430998,4.03716047949047,-4.10540275208273,4.0361105435544e-05
"eutro",-3.93369607785764,1.62099507916214,-2.42671685338545,0.0152361417517873
"log10(RT)",0.135333513044094,0.520990826527265,0.259761796471883,0.795047521563261
