"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.8438767413998,0.69666710568006,-5.51752294612439,3.43811204811032e-08
"human_impact",-0.272557888172877,0.298269613537709,-0.913797033965776,0.360823505256563
"log10(area)",1.46834724864664,0.117395598967979,12.5076856505255,6.77700626731223e-36
"depth",-5.1337712457975,0.323948730322881,-15.8474806821457,1.46330621755335e-56
"eutro",-0.643068226088499,0.281864772277176,-2.28147781964086,0.022520187749642
"log10(RT)",-0.391217596038929,0.111834424290437,-3.49818580925429,0.000468434656251172
