"term","estimate","std.error","statistic","p.value"
"(Intercept)",-2.64681011627678,0.499925622988044,-5.29440779701759,1.19402714466071e-07
"human_impact",-2.37416680020171,0.19201232099379,-12.3646586214564,4.05932207364361e-35
"log10(area)",1.76049371582526,0.0926552707284769,19.0004702590998,1.69023285342936e-80
"depth",-6.32404514238426,0.256177482545701,-24.6861866216367,1.50505290264787e-134
"eutro",-1.63742430762912,0.189522608033137,-8.63973076680555,5.63456444130735e-18
"log10(RT)",-0.195640076110977,0.079208069254442,-2.4699513313791,0.0135131435363584
