"term","estimate","std.error","statistic","p.value"
"(Intercept)",-10.0990188331165,4.09618976087362,-2.46546654883553,0.0136834951291539
"human_impact",-2.2710913805599,1.17472255337562,-1.93330022824011,0.0531992237273192
"log10(area)",1.89525805617508,0.581073395067307,3.26165002952088,0.00110765800884131
"log10(depth)",-19.2666610397549,4.32933774473479,-4.45025594577057,8.57680113405863e-06
"eutro",-3.58294082442986,1.52359243333429,-2.351639943885,0.0186908573533795
"log10(RT)",0.319902986390172,0.482317395589436,0.663262385548465,0.507162522463709
