"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.83595153516613,0.713069573633967,-5.37949125443291,7.46966231626655e-08
"human_impact",-0.331457813630238,0.30302081014144,-1.09384505135316,0.274022941599184
"log10(area)",1.40992345006,0.116274731644527,12.1257940579075,7.71091568216709e-34
"depth",-5.11691021739097,0.3257329618351,-15.7089113381819,1.31416409219806e-55
"eutro",-0.639200257665951,0.279606338088384,-2.28607213282804,0.0222500389713571
"log10(RT)",-0.260006369417648,0.108677260863154,-2.39246340359136,0.0167356970108345
