"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.79486806510503,0.702375698992331,-5.40290341842602,6.5570769654423e-08
"human_impact",-0.450066334684615,0.300742201287092,-1.49651872187694,0.134518532850845
"log10(area)",1.42547493706621,0.117094159758546,12.1737492288737,4.28918746719463e-34
"depth",-5.00049034394478,0.326710014013959,-15.3055925115633,7.01601301388033e-53
"eutro",-0.774438882498478,0.27966823910652,-2.76913418904,0.00562054810045994
"log10(RT)",-0.310206547044124,0.109539849783248,-2.83190590144085,0.00462714634724945
