"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.54197216176057,0.692945479282521,-5.1114730778357,3.19656384222927e-07
"human_impact",-0.60139993346831,0.294930297645819,-2.03912564517373,0.0414374893281984
"log10(area)",1.39824843941305,0.116243886356908,12.0285761534156,2.5145992908086e-33
"depth",-5.18604291371577,0.328735252254169,-15.775743179822,4.56987287446096e-56
"eutro",-0.607774492559544,0.278712681292128,-2.18064886657424,0.0292093977899549
"log10(RT)",-0.2463869978648,0.10920866057951,-2.25611225847255,0.024063601614747
