"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.79649983238587,0.706877054567662,-5.37080643352878,7.83853120970717e-08
"human_impact",-0.440553704022771,0.295944629962428,-1.48863557375142,0.136583358698959
"log10(area)",1.46930886344558,0.118818401331648,12.366004313965,3.99190515753165e-35
"depth",-5.04943359339526,0.321504285238581,-15.7056494274973,1.38353602131999e-55
"eutro",-0.604234483094268,0.277141803200761,-2.18023580750307,0.0292399866194661
"log10(RT)",-0.417306466855552,0.114142241662459,-3.6560213009449,0.000256160078938218
