"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.95605843824906,0.698490710728727,-5.66372376537656,1.48122791549506e-08
"human_impact",-0.320979695784343,0.29234523242241,-1.09794742717254,0.27222744654754
"log10(area)",1.44028151621507,0.11623890631175,12.3907008583879,2.93467336096053e-35
"depth",-4.90637046745071,0.317389440374404,-15.4585182848648,6.61016022038821e-54
"eutro",-0.745713724198881,0.274788756005451,-2.7137708799995,0.00665221575234693
"log10(RT)",-0.321433640560498,0.108958270986631,-2.95006186909793,0.0031771030116874
