"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.64387577215541,0.694788455015539,-5.24458307539654,1.5663611797077e-07
"human_impact",-0.496247860478968,0.29303836928807,-1.69345694109816,0.0903685242861557
"log10(area)",1.45904250670359,0.117850378232427,12.3804652016139,3.33404643105281e-35
"depth",-5.12032158142929,0.324746438607697,-15.7671369804144,5.23705295003582e-56
"eutro",-0.620296295194204,0.276854329976046,-2.24051505803746,0.025057504313639
"log10(RT)",-0.395130924760114,0.111720351844601,-3.53678553849999,0.000405028413195113
