"term","estimate","std.error","statistic","p.value"
"(Intercept)",-4.15370092764796,0.711490135545886,-5.83803024122191,5.28215714961423e-09
"human_impact",-0.121636594551832,0.298128104652567,-0.408001099707071,0.683272867537336
"log10(area)",1.51345831996664,0.120242641233465,12.5867022251123,2.49897131118729e-36
"depth",-5.21467561776035,0.32969439961643,-15.8166945626834,2.38699743809756e-56
"eutro",-0.764068350082557,0.276683383799066,-2.76152597091787,0.00575319407417155
"log10(RT)",-0.35608784914189,0.11233987643557,-3.16973687741338,0.00152577035938593
