"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.6007639606835,0.688936977600357,-5.22655058119446,1.72701589926442e-07
"human_impact",-0.296227227340369,0.297496979624984,-0.995731881761569,0.319380435114844
"log10(area)",1.4189585875981,0.115183053383096,12.3191610737968,7.14335217332282e-35
"depth",-5.07791147865393,0.321468689099148,-15.7959753184168,3.31624168332131e-56
"eutro",-0.950467311652617,0.280923865757382,-3.38336263845052,0.000716040162244464
"log10(RT)",-0.327320042635701,0.111257330456607,-2.94200877634183,0.00326090685137874
