"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.67058301903617,0.498579132603352,-7.36208713724151,1.81056713725987e-13
"human_impact",-2.31130270410633,0.193002676852424,-11.9754955827563,4.77575290211727e-33
"log10(area)",1.89570280644641,0.0944347376017785,20.0742105562933,1.2403764474517e-89
"depth",-6.30591660182338,0.256253435332732,-24.6081251306367,1.03395733471099e-133
"eutro",-1.54906840217571,0.188125436382014,-8.23423154235308,1.8071387082389e-16
"log10(RT)",-0.165843603617227,0.0765452827210632,-2.1666077610762,0.0302647751129455
