"term","estimate","std.error","statistic","p.value"
"(Intercept)",-2.66558980379346,0.492493521269199,-5.41243628327131,6.21729810089256e-08
"human_impact",-2.44953723582808,0.192205391686932,-12.7443731641927,3.3507314237182e-37
"log10(area)",1.68191432289079,0.089783767020267,18.7329444810567,2.6674637640221e-78
"depth",-5.91270098725988,0.246087303816145,-24.0268428950619,1.45794695437857e-127
"eutro",-1.6131931055873,0.188606869957845,-8.55320437663732,1.19717649555422e-17
"log10(RT)",-0.166231619988588,0.0764156100521822,-2.17536207425515,0.0296029942088059
