"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.67729532452944,0.707088288738699,-5.20061692874164,1.98628110905247e-07
"human_impact",-0.412882979028894,0.297400944857359,-1.38830419394573,0.165044435680277
"log10(area)",1.47865550746924,0.118754877954375,12.4513243829642,1.37543655128867e-35
"depth",-5.28867292938545,0.328869603268341,-16.0813674381155,3.44685860595317e-58
"eutro",-0.694041811203279,0.282327065987984,-2.45829002888734,0.0139600383189677
"log10(RT)",-0.385410193579037,0.112258952042541,-3.43322458090455,0.000596447833883266
