"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.60476278329245,0.693324590435269,-5.19924265347257,2.00102159635843e-07
"human_impact",-0.491892155088421,0.29346696523546,-1.67614148561408,0.0937104824234697
"log10(area)",1.42822597002627,0.1162089741999,12.2901521148399,1.02313325999367e-34
"depth",-5.04833701092086,0.325028864405665,-15.5319651999278,2.10818818675318e-54
"eutro",-0.748922682668516,0.281780720706117,-2.6578208785604,0.00786476812288372
"log10(RT)",-0.34965083704346,0.110997095338139,-3.15008997287985,0.00163220188195032
