"term","estimate","std.error","statistic","p.value"
"(Intercept)",-2.59985720607458,0.490501786837823,-5.30040312969172,1.15547260760577e-07
"human_impact",-2.49160901682243,0.190266684860012,-13.0953509735854,3.50052441766909e-39
"log10(area)",1.65766536155304,0.089768867180329,18.4659271484745,3.88298540932646e-76
"depth",-5.75978754399168,0.241877950021192,-23.8127846853632,2.46208762726675e-125
"eutro",-1.54226050012954,0.184845972161073,-8.34348989106254,7.21296103344065e-17
"log10(RT)",-0.186686351652753,0.076078537531751,-2.45386356927327,0.01413305906275
