"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.76251907259949,0.685907616453449,-5.48546040653981,4.12393919438819e-08
"human_impact",-0.153930880852979,0.292224869689359,-0.526754896038145,0.59836380838383
"log10(area)",1.44284052784302,0.115444942239751,12.4980835006751,7.64726824148615e-36
"depth",-5.07521757235633,0.319868658217099,-15.8665672362052,1.0798781237153e-56
"eutro",-0.903592721062227,0.276058052547871,-3.27319820132954,0.0010633788258557
"log10(RT)",-0.344655962776811,0.110957854628275,-3.10618805609985,0.00189516148259955
