"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.28936808866881,0.693250063082389,-4.74485075997445,2.0866011683947e-06
"human_impact",-0.382100172600643,0.29574273961087,-1.29200186994751,0.196356497012009
"log10(area)",1.31920033184938,0.114760910548645,11.4952062121379,1.39447607006221e-30
"depth",-4.84718329557448,0.317407827214417,-15.2711523786718,1.19050480337692e-52
"eutro",-0.947616049858672,0.27688759775215,-3.42238532007819,0.000620742770651253
"log10(RT)",-0.27761496556877,0.110161629867676,-2.52006951878105,0.0117331658634967
