"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.80891437954308,0.716179287840528,-5.31838108726654,1.04694608677193e-07
"human_impact",-0.456220860910027,0.298041221674145,-1.53073074371176,0.125835952260076
"log10(area)",1.46097546760029,0.120084012592338,12.1662778921289,4.70031474374346e-34
"depth",-5.20649682356553,0.332978171205186,-15.6361505762407,4.12948047416185e-55
"eutro",-0.787297796325482,0.281954576233305,-2.79228593074519,0.00523370852673558
"log10(RT)",-0.288969375089355,0.111236863134824,-2.59778428612384,0.00938274165678221
