"term","estimate","std.error","statistic","p.value"
"(Intercept)",-9.86949451148202,4.24025707897819,-2.32756984485958,0.0199349562308533
"human_impact",-3.00888685296491,1.3210779970573,-2.27759970241515,0.0227504382525278
"log10(area)",1.84228874384905,0.59161970473206,3.11397461766998,0.00184585368441465
"log10(depth)",-21.5466871960834,4.78585050024474,-4.50216470300974,6.72648215117645e-06
"eutro",-3.97331244977776,1.66249868195813,-2.38996427058692,0.016850011945044
"log10(RT)",0.558097403093479,0.511819934110399,1.090417480639,0.275529285043838
