"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.53922145578194,0.498678044245676,-7.09720729962261,1.27303040342075e-12
"human_impact",-2.4944345146183,0.194609414653774,-12.8176456368059,1.30606356040603e-37
"log10(area)",1.81632292527322,0.0931452336481412,19.4999019717362,1.09992914259181e-84
"depth",-6.00916767827967,0.24924161627657,-24.1098086589666,1.97255964711477e-128
"eutro",-1.33016337764219,0.184517277708888,-7.20888251852913,5.64129048438431e-13
"log10(RT)",-0.164492898128272,0.0758329639044882,-2.16914768537138,0.0300714733928159
