"term","estimate","std.error","statistic","p.value"
"(Intercept)",-2.57522718605954,0.490689299944424,-5.24818288548622,1.53606769926449e-07
"human_impact",-2.42563764135227,0.189788785005951,-12.7807216916227,2.10110780461409e-37
"log10(area)",1.68520842927604,0.0905727021027136,18.6061405937181,2.86528325997386e-77
"depth",-5.9642715153534,0.248501247944454,-24.000972086412,2.71654832931556e-127
"eutro",-1.56561019128095,0.186480004334737,-8.39559285118117,4.63549312254556e-17
"log10(RT)",-0.197563047306095,0.0763347483747067,-2.58811421420179,0.00965029770382935
