"term","estimate","std.error","statistic","p.value"
"(Intercept)",-2.89874623507221,0.492495798184466,-5.88582937307918,3.96062763125953e-09
"human_impact",-2.47126994322527,0.190689694617478,-12.9596407828048,2.07215609244634e-38
"log10(area)",1.72435217870912,0.0914162014895772,18.8626540001853,2.31312158995988e-79
"depth",-5.94855370208541,0.246845787670324,-24.0982589098503,2.60701289862471e-128
"eutro",-1.45277560046232,0.186314204453035,-7.79744950057487,6.3170903837248e-15
"log10(RT)",-0.185825975269837,0.0772224604983758,-2.40637211078951,0.0161118441469502
