"term","estimate","std.error","statistic","p.value"
"(Intercept)",-2.92683937337428,0.491686647429804,-5.95265173189829,2.63832338987401e-09
"human_impact",-2.51931812122019,0.191680053283054,-13.1433504846741,1.85813447688731e-39
"log10(area)",1.71162359649538,0.0900030018612033,19.0174056542573,1.22391700264385e-80
"depth",-5.86726320986877,0.245449433044222,-23.9041628130862,2.77218378277343e-126
"eutro",-1.44431832126298,0.186524109142355,-7.74333316965838,9.68438334535083e-15
"log10(RT)",-0.170948990275041,0.076085768343799,-2.24679324394275,0.0246532437429791
