"term","estimate","std.error","statistic","p.value"
"(Intercept)",-2.83759424571327,0.494162991934356,-5.74222329884673,9.34414887261706e-09
"human_impact",-2.45015910941465,0.189648270827613,-12.9194909013528,3.49445898195497e-38
"log10(area)",1.71339275232464,0.0911190622969429,18.8038892097129,7.01769015063493e-79
"depth",-5.93892548034356,0.246607246279782,-24.0825262433923,3.8108872289366e-128
"eutro",-1.5094014694767,0.187242505709917,-8.06121165572909,7.55419016264256e-16
"log10(RT)",-0.180493909378349,0.0759721506332418,-2.37579044260166,0.0175114048021401
